movie,studio,production_budget,domestic_gross,worldwide_gross,release_month,foreign_gross,net_profit
Sausage Party,Sony,19000000.0,97670358.0,141344255.0,August,43673897.0,122344255.0
Anchorman 2: The Legend Continues,Par.,50000000.0,127352707.0,172185754.0,December,44833047.0,122185754.0
After Earth,Sony,130000000.0,60522097.0,251499665.0,May,190977568.0,121499665.0
The Mule,WB,50000000.0,103804407.0,170857676.0,December,67053269.0,120857676.0
Darkest Hour,Focus,30000000.0,56443120.0,150807172.0,November,94364052.0,120807172.0
Geostorm,WB,100000000.0,33700160.0,220796009.0,October,187095849.0,120796009.0
Gulliver's Travels,Fox,112000000.0,42779261.0,232017848.0,December,189238587.0,120017848.0
Happy Death Day,Uni.,5000000.0,55683845.0,125010260.0,October,69326415.0,120010260.0
Johnny English Reborn,Uni.,45000000.0,8406711.0,164640401.0,October,156233690.0,119640401.0
The Green Hornet,Sony,110000000.0,98780042.0,229155503.0,January,130375461.0,119155503.0
The Fighter,Par.,11000000.0,93617009.0,129262388.0,December,35645379.0,118262388.0
Solo: A Star Wars Story,BV,275000000.0,213767512.0,393151347.0,May,179383835.0,118151347.0
Dear John,SGem,25000000.0,80014842.0,142033509.0,February,62018667.0,117033509.0
Saw 3D,LGF,17000000.0,45710178.0,133735284.0,October,88025106.0,116735284.0
Dumb and Dumber To,Uni.,40000000.0,86208010.0,156553592.0,November,70345582.0,116553592.0
The Muppets,BV,45000000.0,88625922.0,160971922.0,November,72346000.0,115971922.0
Baywatch,Par.,60000000.0,58060186.0,175863783.0,May,117803597.0,115863783.0
The Town,WB,37000000.0,92186262.0,152566881.0,September,60380619.0,115566881.0
The Dictator,Par.,65000000.0,59650222.0,180148897.0,May,120498675.0,115148897.0
Final Destination 5,WB (NL),40000000.0,42587643.0,155011165.0,August,112423522.0,115011165.0
The Woman in Black,CBS,15000000.0,54333290.0,128955898.0,February,74622608.0,113955898.0
The Equalizer 2,Sony,77000000.0,102084362.0,190453132.0,July,88368770.0,113453132.0
Storks,WB,70000000.0,72679278.0,183353431.0,September,110674153.0,113353431.0
The Accountant,WB,40000000.0,86260045.0,152962083.0,October,66702038.0,112962083.0
Girls Trip,Uni.,28000000.0,115108515.0,140886353.0,July,25777838.0,112886353.0
Robin Hood,Uni.,210000000.0,105487148.0,322459006.0,May,216971858.0,112459006.0
The Artist,Wein.,16000000.0,44667095.0,128256712.0,November,83589617.0,112256712.0
Friends with Benefits,SGem,35000000.0,55802754.0,146595891.0,July,90793137.0,111595891.0
Percy Jackson: Sea of Monsters,Fox,90000000.0,68559554.0,200859554.0,August,132300000.0,110859554.0
Rango,Par.,135000000.0,123477607.0,245724600.0,March,122246993.0,110724600.0
Insidious Chapter 3,Focus,10000000.0,52218558.0,120453155.0,June,68234597.0,110453155.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,135000000.0,82051601.0,245328374.0,June,163276773.0,110328374.0
Lone Survivor,Uni.,40000000.0,125095601.0,149804632.0,December,24709031.0,109804632.0
The Expendables 3,LGF,100000000.0,39322544.0,209461378.0,August,170138834.0,109461378.0
Magic Mike XXL,WB,14500000.0,66013057.0,123660597.0,July,57647540.0,109160597.0
Bajrangi Bhaijaan,Eros,13000000.0,8178001.0,121778347.0,July,113600346.0,108778347.0
The Purge: Election Year,Uni.,10000000.0,79042440.0,118514727.0,July,39472287.0,108514727.0
Source Code,Sum.,32000000.0,54712227.0,140428499.0,April,85716272.0,108428499.0
The Theory of Everything,Focus,15000000.0,35893537.0,123327692.0,November,87434155.0,108327692.0
Alice Through the Looking Glass,BV,170000000.0,77042381.0,276928112.0,May,199885731.0,106928112.0
Trainwreck,Uni.,35000000.0,110212700.0,141123897.0,July,30911197.0,106123897.0
The Foreigner,STX,35000000.0,34393507.0,140783360.0,October,106389853.0,105783360.0
The Shallows,Sony,13000000.0,55121623.0,118763442.0,June,63641819.0,105763442.0
The Big Short,Par.,28000000.0,70259870.0,133162752.0,December,62902882.0,105162752.0
10 Cloverfield Lane,Par.,5000000.0,72082999.0,108286422.0,March,36203423.0,103286422.0
Hope Springs,Sony,30000000.0,63536011.0,133085295.0,August,69549284.0,103085295.0
Olympus Has Fallen,FD,70000000.0,98927592.0,172878928.0,March,73951336.0,102878928.0
The Purge: Anarchy,Uni.,9000000.0,71562550.0,111534881.0,July,39972331.0,102534881.0
The Iron Lady,Wein.,14000000.0,29959436.0,115592104.0,January,85632668.0,101592104.0
Think Like a Man,SGem,12000000.0,91547205.0,113373764.0,April,21826559.0,101373764.0
Goosebumps,Sony,58000000.0,80069458.0,158905324.0,October,78835866.0,100905324.0
The Devil Inside,Par.,1000000.0,53262945.0,101759490.0,January,48496545.0,100759490.0
Jack Reacher: Never Go Back,Par.,60000000.0,58697076.0,159946489.0,October,101249413.0,99946489.0
A Bad Moms Christmas,STX,28000000.0,72110659.0,127710550.0,November,55599891.0,99710550.0
Pitch Perfect,Uni.,17000000.0,65001093.0,116044347.0,September,51043254.0,99044347.0
Unbroken,Uni.,65000000.0,115637895.0,163527824.0,December,47889929.0,98527824.0
Insidious,FD,1500000.0,54009150.0,99870886.0,April,45861736.0,98370886.0
Ouija,Uni.,5000000.0,50856010.0,103300632.0,October,52444622.0,98300632.0
Date Night,Fox,55000000.0,98711404.0,152269033.0,April,53557629.0,97269033.0
The Secret Life of Walter Mitty,Fox,91000000.0,58236838.0,187861183.0,December,129624345.0,96861183.0
Unknown,WB,40000000.0,63686397.0,136123083.0,February,72436686.0,96123083.0
Parental Guidance,Fox,25000000.0,77267296.0,120832383.0,December,43565087.0,95832383.0
This is the End,Sony,32000000.0,101470202.0,126539117.0,June,25068915.0,94539117.0
The Visit,Uni.,5000000.0,65206105.0,98677816.0,September,33471711.0,93677816.0
Dirty Grandpa,LGF,11500000.0,35593113.0,105078449.0,January,69485336.0,93578449.0
Battleship,Uni.,220000000.0,65233400.0,313477717.0,May,248244317.0,93477717.0
The Nut Job,ORF,30000000.0,64251538.0,122529966.0,January,58278428.0,92529966.0
Jigsaw,LGF,10000000.0,38052832.0,102445196.0,October,64392364.0,92445196.0
Ghost Rider: Spirit of Vengeance,Sony,57000000.0,51774002.0,149217355.0,February,97443353.0,92217355.0
This Means War,Fox,65000000.0,54760791.0,156974557.0,February,102213766.0,91974557.0
Truth or Dare,Uni.,3500000.0,41411015.0,95127344.0,April,53716329.0,91627344.0
Project X,WB,12000000.0,54731865.0,103028188.0,March,48296323.0,91028188.0
The Bounty Hunter,Sony,45000000.0,67061228.0,135808837.0,March,68747609.0,90808837.0
Zookeeper,Sony,80000000.0,80360866.0,170805525.0,July,90444659.0,90805525.0
Heaven is for Real,TriS,12000000.0,91386097.0,100916299.0,April,9530202.0,88916299.0
The Monuments Men,Sony,70000000.0,78031620.0,158702748.0,February,80671128.0,88702748.0
Mirror Mirror,Rela.,85000000.0,64935167.0,173613482.0,March,108678315.0,88613482.0
Captain Underpants: The First Epic Movie,Fox,38000000.0,73921000.0,126577874.0,June,52656874.0,88577874.0
The Purge,Uni.,3000000.0,64473115.0,91266581.0,June,26793466.0,88266581.0
Dark Shadows,WB,150000000.0,79727149.0,238202668.0,May,158475519.0,88202668.0
Predators,Fox,40000000.0,52000688.0,127234389.0,July,75233701.0,87234389.0
Philomena,Wein.,12000000.0,37709979.0,98963392.0,November,61253413.0,86963392.0
War Horse,BV,70000000.0,79883359.0,156815529.0,December,76932170.0,86815529.0
Sex Tape,Sony,40000000.0,38543473.0,126069509.0,July,87526036.0,86069509.0
Justin Bieber: Never Say Never,Par.,13000000.0,73013910.0,99034125.0,February,26020215.0,86034125.0
Paranormal Activity: The Marked Ones,Par.,5000000.0,32462372.0,90904854.0,January,58442482.0,85904854.0
The Hateful Eight,Wein.,62000000.0,54117416.0,147864886.0,December,93747470.0,85864886.0
American Made,Uni.,50000000.0,51342000.0,135569212.0,September,84227212.0,85569212.0
Warm Bodies,LG/S,30000000.0,66380662.0,115121608.0,February,48740946.0,85121608.0
Last Vegas,CBS,28000000.0,63914167.0,112914167.0,January,49000000.0,84914167.0
Blue Jasmine,SPC,18000000.0,33404871.0,102912961.0,July,69508090.0,84912961.0
Ride Along 2,Uni.,40000000.0,90862685.0,124827316.0,January,33964631.0,84827316.0
Sinister,LG/S,3000000.0,48086903.0,87727807.0,October,39640904.0,84727807.0
Blended,WB,45000000.0,46290741.0,127990741.0,May,81700000.0,82990741.0
The Karate Kid,Sony,8000000.0,90815558.0,90815558.0,June,0.0,82815558.0
Zero Dark Thirty,Sony,52500000.0,95720716.0,134612435.0,December,38891719.0,82112435.0
The Pirates! Band of Misfits,Sony,55000000.0,31051126.0,136143605.0,April,105092479.0,81143605.0
Book Club,Par.,10000000.0,68566296.0,91113683.0,May,22547387.0,81113683.0
The Second Best Exotic Marigold Hotel,FoxS,10000000.0,33078266.0,90384306.0,March,57306040.0,80384306.0
Game Night,WB (NL),37000000.0,69179066.0,117378084.0,February,48199018.0,80378084.0
Saving Mr. Banks,BV,35000000.0,83299761.0,114962525.0,December,31662764.0,79962525.0
Why Him?,Fox,38000000.0,60323786.0,117425156.0,December,57101370.0,79425156.0
The Favourite,FoxS,15000000.0,34366783.0,94113929.0,November,59747146.0,79113929.0
Sanctum,Uni.,30000000.0,23209310.0,108957098.0,February,85747788.0,78957098.0
Water for Elephants,Fox,38000000.0,58709717.0,116809717.0,April,58100000.0,78809717.0
The Book of Eli,WB,80000000.0,94835059.0,158750817.0,January,63915758.0,78750817.0
BlacKkKlansman,Focus,15000000.0,49275340.0,93017335.0,August,43741995.0,78017335.0
A Simple Favor,LGF,20000000.0,53548586.0,97628717.0,September,44080131.0,77628717.0
Contagion,WB,60000000.0,75658097.0,137551594.0,September,61893497.0,77551594.0
About Time,Uni.,12000000.0,15323921.0,89309178.0,November,73985257.0,77309178.0
Red Sparrow,Fox,69000000.0,46874505.0,145951861.0,March,99077356.0,76951861.0
The Adjustment Bureau,Uni.,50200000.0,62495645.0,126931325.0,March,64435680.0,76731325.0
Tammy,WB (NL),20000000.0,84525432.0,96407655.0,July,11882223.0,76407655.0
Sisters,Uni.,30000000.0,87044645.0,106030660.0,December,18986015.0,76030660.0
Blade Runner 2049,WB,185000000.0,92054159.0,259357408.0,October,167303249.0,74357408.0
My Big Fat Greek Wedding 2,Uni.,18000000.0,59689605.0,92096558.0,March,32406953.0,74096558.0
Neighbors 2: Sorority Rising,Uni.,35000000.0,55340730.0,108757621.0,May,53416891.0,73757621.0
Paper Towns,Fox,12000000.0,32000304.0,85450484.0,July,53450180.0,73450484.0
Contraband,Uni.,25000000.0,66528000.0,98406855.0,January,31878855.0,73406855.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,28000000.0,66954149.0,101379287.0,October,34425138.0,73379287.0
The 5th Wave,Sony,38000000.0,34912982.0,111336398.0,January,76423416.0,73336398.0
Blockers,Uni.,21000000.0,60311495.0,94045328.0,April,33733833.0,73045328.0
Ouija: Origin of Evil,Uni.,9000000.0,35144505.0,81831866.0,October,46687361.0,72831866.0
Love and Other Drugs,Fox,30000000.0,32367005.0,102716321.0,November,70349316.0,72716321.0
The Last Song,BV,20000000.0,62950384.0,92678948.0,March,29728564.0,72678948.0
The Hundred-Foot Journey,BV,22000000.0,54235441.0,94270488.0,August,40035047.0,72270488.0
Spotlight,ORF,20000000.0,45055776.0,92088460.0,November,47032684.0,72088460.0
Instant Family,Par.,48000000.0,67363237.0,119736188.0,November,52372951.0,71736188.0
The Lucky One,WB,25000000.0,60457138.0,96633833.0,April,36176695.0,71633833.0
Jack and Jill,Sony,79000000.0,74158157.0,150519217.0,November,76361060.0,71519217.0
2 Guns,Uni.,61000000.0,75612460.0,132493015.0,August,56880555.0,71493015.0
Jack Ryan: Shadow Recruit,Par.,60000000.0,50577412.0,131377412.0,January,80800000.0,71377412.0
Vacation,WB (NL),31000000.0,58884188.0,102306500.0,July,43422312.0,71306500.0
War Room,TriS,3000000.0,67790117.0,73975239.0,August,6185122.0,70975239.0
The Other Guys,Sony,100000000.0,119219978.0,170936470.0,August,51716492.0,70936470.0
Unstoppable,Fox,95000000.0,81562942.0,165720921.0,November,84157979.0,70720921.0
Act of Valor,Rela.,12000000.0,70012847.0,82497035.0,February,12484188.0,70497035.0
Abraham Lincoln: Vampire Hunter,Fox,67500000.0,37519139.0,137489730.0,June,99970591.0,69989730.0
Mechanic: Resurrection,LG/S,40000000.0,21218403.0,109738840.0,August,88520437.0,69738840.0
Paul Blart: Mall Cop 2,Sony,38000000.0,71091594.0,107650646.0,April,36559052.0,69650646.0
Kick-Ass,LGF,28000000.0,48071303.0,97531134.0,April,49459831.0,69531134.0
Manchester by the Sea,RAtt.,8500000.0,47695371.0,77733867.0,November,30038496.0,69233867.0
The Possession,LGF,14000000.0,49130588.0,82925064.0,August,33794476.0,68925064.0
We Bought a Zoo,Fox,50000000.0,75624550.0,118729073.0,December,43104523.0,68729073.0
Lady Bird,A24,10000000.0,48958273.0,78610769.0,November,29652496.0,68610769.0
The Last Exorcism,LGF,1800000.0,41034350.0,70165900.0,August,29131550.0,68365900.0
Atomic Blonde,Focus,30000000.0,51573925.0,98345423.0,July,46771498.0,68345423.0
Easy A,SGem,8000000.0,58401464.0,76200721.0,September,17799257.0,68200721.0
Paranormal Activity: The Ghost Dimension,Par.,10000000.0,18297124.0,77959374.0,October,59662250.0,67959374.0
Life as We Know It,WB,38000000.0,53374681.0,105887837.0,October,52513156.0,67887837.0
Prisoners,WB,46000000.0,61002302.0,113402302.0,September,52400000.0,67402302.0
If I Stay,WB (NL),11000000.0,50474843.0,78356170.0,August,27881327.0,67356170.0
The A-Team,Fox,110000000.0,77222099.0,177241171.0,June,100019072.0,67241171.0
Get Hard,WB,40000000.0,90411453.0,106511453.0,March,16100000.0,66511453.0
Money Monster,TriS,27000000.0,41012075.0,93466095.0,May,52454020.0,66466095.0
Safe Haven,Rela.,28000000.0,71399120.0,94050951.0,February,22651831.0,66050951.0
Horrible Bosses 2,WB,40000000.0,54445357.0,105945357.0,November,51500000.0,65945357.0
Tower Heist,Uni.,85000000.0,78046570.0,150422946.0,November,72376376.0,65422946.0
Arthur Christmas,Sony,85000000.0,46462469.0,149717124.0,November,103254655.0,64717124.0
Tooth Fairy,Fox,48000000.0,60022256.0,112610386.0,January,52588130.0,64610386.0
Southpaw,Wein.,30000000.0,52421953.0,94156456.0,July,41734503.0,64156456.0
Unfriended,Uni.,1000000.0,32789645.0,64364198.0,April,31574553.0,63364198.0
The Divergent Series: Allegiant,LG/S,110000000.0,66184051.0,172022517.0,March,105838466.0,62022517.0
Sultan,Yash,11000000.0,5599781.0,72989781.0,July,67390000.0,61989781.0
The Commuter,LGF,40000000.0,36343858.0,101985431.0,January,65641573.0,61985431.0
Diary of a Wimpy Kid,Fox,15000000.0,64003625.0,76954311.0,March,12950686.0,61954311.0
Vampires Suck,Fox,20000000.0,36661504.0,81424988.0,August,44763484.0,61424988.0
Moneyball,Sony,50000000.0,75605492.0,111300835.0,September,35695343.0,61300835.0
Paul,Uni.,40000000.0,37412945.0,101162106.0,March,63749161.0,61162106.0
Begin Again,Wein.,8000000.0,16170632.0,68838736.0,June,52668104.0,60838736.0
Miracles from Heaven,TriS,13000000.0,61705123.0,73798736.0,March,12093613.0,60798736.0
The Rite,WB (NL),37000000.0,33047633.0,97143987.0,January,64096354.0,60143987.0
Hereditary,A24,10000000.0,44069456.0,70133905.0,June,26064449.0,60133905.0
Piranha 3D,W/Dim.,24000000.0,25003155.0,83660160.0,August,58657005.0,59660160.0
The BFG,BV,140000000.0,55483770.0,199646680.0,July,144162910.0,59646680.0
I Feel Pretty,STX,32000000.0,48795601.0,91553797.0,April,42758196.0,59553797.0
Dolphin Tale,WB,37000000.0,72286779.0,96068724.0,September,23781945.0,59068724.0
Hereafter,WB,50000000.0,32746941.0,108660270.0,October,75913329.0,58660270.0
One Direction: This is Us,TriS,10000000.0,28873374.0,68541786.0,August,39668412.0,58541786.0
Goosebumps 2: Haunted Halloween,Sony,35000000.0,46697321.0,93291478.0,October,46594157.0,58291478.0
Skyline,Uni.,10000000.0,21416355.0,68264973.0,November,46848618.0,58264973.0
The Sorcerer's Apprentice,BV,160000000.0,63150991.0,217986320.0,July,154835329.0,57986320.0
Rings,Par.,25000000.0,27793018.0,82917283.0,February,55124265.0,57917283.0
A Haunted House,ORF,2500000.0,40041683.0,59922558.0,January,19880875.0,57422558.0
The Wedding Ringer,SGem,23000000.0,64460211.0,80171596.0,January,15711385.0,57171596.0
The Book Thief,Fox,19000000.0,21488481.0,76086711.0,November,54598230.0,57086711.0
The Call,TriS,12800000.0,51872378.0,69821476.0,March,17949098.0,57021476.0
Riddick,Uni.,38000000.0,42025135.0,94763758.0,September,52738623.0,56763758.0
The Grey,ORF,25000000.0,51580136.0,81249176.0,January,29669040.0,56249176.0
Chappie,Sony,49000000.0,31569268.0,105002056.0,March,73432788.0,56002056.0
Scream 4,W/Dim.,40000000.0,38180928.0,95989590.0,April,57808662.0,55989590.0
The Best Man Holiday,Uni.,17000000.0,70525195.0,72835710.0,November,2310515.0,55835710.0
Diary of a Wimpy Kid: Rodrick Rules,Fox,18000000.0,52698535.0,73695194.0,March,20996659.0,55695194.0
Dallas Buyers Club,Focus,5000000.0,27298285.0,60611845.0,November,33313560.0,55611845.0
"Love, Simon",Fox,10000000.0,40826341.0,65520633.0,March,24694292.0,55520633.0
White House Down,Sony,150000000.0,73103784.0,205440387.0,June,132336603.0,55440387.0
Free Birds,Rela.,55000000.0,55750480.0,110387072.0,November,54636592.0,55387072.0
Diary of a Wimpy Kid: Dog Days,Fox,22000000.0,49008662.0,77229695.0,August,28221033.0,55229695.0
The Ides of March,Sony,23000000.0,40962534.0,77735925.0,October,36773391.0,54735925.0
Sicario,LGF,30000000.0,46889293.0,84393749.0,September,37504456.0,54393749.0
Spy Kids: All the Time in the World,W/Dim.,27000000.0,38536376.0,80681183.0,August,42144807.0,53681183.0
The Dark Tower,Sony,60000000.0,50701325.0,113461527.0,August,62760202.0,53461527.0
Devil,Uni.,10000000.0,33679655.0,63354114.0,September,29674459.0,53354114.0
Boyhood,IFC,4000000.0,25379975.0,57273049.0,July,31893074.0,53273049.0
Moonrise Kingdom,Focus,16000000.0,45512466.0,68848446.0,May,23335980.0,52848446.0
To Rome with Love,SPC,21500000.0,16684352.0,74326015.0,June,57641663.0,52826015.0
Letters to Juliet,Sum.,30000000.0,53032453.0,82148538.0,May,29116085.0,52148538.0
The Boxtrolls,Focus,60000000.0,50837305.0,111946251.0,September,61108946.0,51946251.0
Abduction,LGF,35000000.0,28087155.0,86648359.0,September,58561204.0,51648359.0
"Everything, Everything",WB,10000000.0,34121140.0,61603136.0,May,27481996.0,51603136.0
Get Him to the Greek,Uni.,40000000.0,61153526.0,91455875.0,June,30302349.0,51455875.0
Season of the Witch,Rela.,40000000.0,24827228.0,91126600.0,January,66299372.0,51126600.0
Brooklyn,FoxS,11000000.0,38322743.0,62076141.0,November,23753398.0,51076141.0
What to Expect When You're Expecting,LGF,37500000.0,41152203.0,88473016.0,May,47320813.0,50973016.0
The Last Witch Hunter,LG/S,80000000.0,27367660.0,130818912.0,October,103451252.0,50818912.0
Nerve,LGF,20000000.0,38583626.0,70652284.0,July,32068658.0,50652284.0
"Big Mommas: Like Father, Like Son",Fox,32000000.0,37915414.0,82332450.0,February,44417036.0,50332450.0
Den of Thieves,STX,30000000.0,44947622.0,80131391.0,January,35183769.0,50131391.0
Red Riding Hood,WB,42000000.0,37662162.0,91678442.0,March,54016280.0,49678442.0
The Boss,Uni.,29000000.0,63077560.0,78652207.0,April,15574647.0,49652207.0
J. Edgar,WB,35000000.0,37306030.0,84606030.0,November,47300000.0,49606030.0
The Boy Next Door,Uni.,4000000.0,36006065.0,53401938.0,January,17395873.0,49401938.0
Collateral Beauty,WB (NL),36000000.0,31016021.0,85309093.0,December,54293072.0,49309093.0
Tag,WB (NL),28000000.0,54730625.0,77026186.0,June,22295561.0,49026186.0
The Big Sick,LGF,5000000.0,42872467.0,53972860.0,June,11100393.0,48972860.0
Son of God,Fox,22000000.0,59700064.0,70949793.0,February,11249729.0,48949793.0
Alpha,Studio 8,51000000.0,35851379.0,99624873.0,August,63773494.0,48624873.0
Delivery Man,BV,22000000.0,30659817.0,70536870.0,November,39877053.0,48536870.0
ParaNorman,Focus,60000000.0,56003051.0,108119662.0,August,52116611.0,48119662.0
Snowpiercer,RTWC,40000000.0,4563029.0,88069880.0,June,83506851.0,48069880.0
The American,Focus,20000000.0,35606376.0,67950723.0,September,32344347.0,47950723.0
Fantastic Four,Fox,120000000.0,56117548.0,167849187.0,August,111731639.0,47849187.0
The Transporter Refueled,EC,22000000.0,16029670.0,69698495.0,September,53668825.0,47698495.0
Second Act,STX,15700000.0,39282227.0,63288854.0,December,24006627.0,47588854.0
Woman in Gold,Wein.,11000000.0,33307793.0,58586407.0,April,25278614.0,47586407.0
Victoria and Abdul,Focus,21000000.0,22245070.0,68271146.0,September,46026076.0,47271146.0
Hitman: Agent 47,Fox,35000000.0,22467450.0,82182803.0,August,59715353.0,47182803.0
The Lincoln Lawyer,LGF,40000000.0,58009200.0,87145086.0,March,29135886.0,47145086.0
Tyler Perry's Madea's Witness Protection,LGF,20000000.0,65653242.0,66950887.0,June,1297645.0,46950887.0
Krampus,Uni.,15000000.0,42725475.0,61788393.0,December,19062918.0,46788393.0
Selma,Par.,20000000.0,52076908.0,66776576.0,January,14699668.0,46776576.0
Office Christmas Party,Par.,45000000.0,54767494.0,91323299.0,December,36555805.0,46323299.0
John Wick,LG/S,30000000.0,43037835.0,76235001.0,October,33197166.0,46235001.0
Underworld: Blood Wars,SGem,35000000.0,30353973.0,81209222.0,January,50855249.0,46209222.0
Think Like a Man Too,SGem,24000000.0,65028687.0,70027933.0,June,4999246.0,46027933.0
The Counselor,Fox,25000000.0,16973715.0,71009334.0,October,54035619.0,46009334.0
Black Mass,WB,53000000.0,62575678.0,98837872.0,September,36262194.0,45837872.0
Brick Mansions,Rela.,28000000.0,20396829.0,73421224.0,April,53024395.0,45421224.0
First Man,Uni.,60000000.0,44936545.0,105203825.0,October,60267280.0,45203825.0
Quartet,Wein.,11000000.0,18388357.0,56178935.0,January,37790578.0,45178935.0
That Awkward Moment,Focus,8000000.0,26068955.0,53068955.0,January,27000000.0,45068955.0
One Day,Focus,15000000.0,13843771.0,59168692.0,August,45324921.0,44168692.0
Sinister 2,Focus,10000000.0,27740955.0,54104225.0,August,26363270.0,44104225.0
Gangster Squad,WB,60000000.0,46000903.0,104100903.0,January,58100000.0,44100903.0
Walking with Dinosaurs,Fox,80000000.0,36076121.0,123368842.0,December,87292721.0,43368842.0
Snitch,LG/S,15000000.0,42930462.0,57907734.0,February,14977272.0,42907734.0
Mike and Dave Need Wedding Dates,Fox,33000000.0,46009673.0,75898100.0,July,29888427.0,42898100.0
"I, Tonya",Neon,11000000.0,30014534.0,53797409.0,December,23782875.0,42797409.0
The Star,Sony,20000000.0,40847995.0,62758010.0,November,21910015.0,42758010.0
End of Watch,ORF,15000000.0,41003371.0,57586606.0,September,16583235.0,42586606.0
Yeh Jawaani Hai Deewani,Eros,8300000.0,3827466.0,50827466.0,May,47000000.0,42527466.0
The Perfect Guy,SGem,18000000.0,57027435.0,60278166.0,September,3250731.0,42278166.0
127 Hours,FoxS,18000000.0,18335230.0,60217171.0,November,41881941.0,42217171.0
"Hail, Caesar!",Uni.,22000000.0,30080225.0,64160680.0,February,34080455.0,42160680.0
Frankenweenie,BV,39000000.0,35287788.0,81150788.0,October,45863000.0,42150788.0
St. Vincent,Wein.,13000000.0,44137712.0,54837234.0,October,10699522.0,41837234.0
Nightcrawler,ORF,8500000.0,32381218.0,50334418.0,October,17953200.0,41834418.0
Slender Man,SGem,10000000.0,30564825.0,51723644.0,August,21158819.0,41723644.0
Teen Titans Go! To The Movies,WB,10000000.0,29790236.0,51620593.0,July,21830357.0,41620593.0
The Gallows,WB (NL),100000.0,22764410.0,41656474.0,July,18892064.0,41556474.0
The Giver,Wein.,25000000.0,45090374.0,66540205.0,August,21449831.0,41540205.0
Chernobyl Diaries,WB,1000000.0,18119640.0,42411721.0,May,24292081.0,41411721.0
Joy,Fox,60000000.0,56451232.0,101134059.0,December,44682827.0,41134059.0
Sicario: Day of the Soldado,Sony,35000000.0,50065850.0,75885196.0,June,25819346.0,40885196.0
Winchester,LGF,3500000.0,25091816.0,44378040.0,February,19286224.0,40878040.0
The Cabin in the Woods,LGF,30000000.0,42073277.0,70689968.0,April,28616691.0,40689968.0
Remember Me,Sum.,16000000.0,19068240.0,56506120.0,March,37437880.0,40506120.0
Fences,Par.,24000000.0,57682904.0,64282881.0,December,6599977.0,40282881.0
Marmaduke,Fox,50000000.0,33644788.0,89895930.0,June,56251142.0,39895930.0
Legend of the Guardians: The Owls of Ga'Hoole,WB,100000000.0,55675313.0,139716717.0,September,84041404.0,39716717.0
Oculus,Rela.,5000000.0,27695246.0,44115496.0,April,16420250.0,39115496.0
The Age of Adaline,LGF,30000000.0,42629776.0,68984536.0,April,26354760.0,38984536.0
Takers,SGem,32000000.0,57744720.0,70587268.0,August,12842548.0,38587268.0
No Escape,Wein.,5000000.0,27288872.0,42844516.0,August,15555644.0,37844516.0
The Crazies,Over.,19000000.0,39123589.0,56445534.0,February,17321945.0,37445534.0
The Nutcracker and the Four Realms,BV,132900000.0,54858851.0,170293899.0,November,115435048.0,37393899.0
The Next Three Days,LGF,30000000.0,21148651.0,67255916.0,November,46107265.0,37255916.0
The Witch,A24,3500000.0,25138705.0,40454520.0,February,15315815.0,36954520.0
The Possession of Hannah Grace,SGem,6000000.0,14836174.0,42785387.0,November,27949213.0,36785387.0
Still Alice,SPC,5000000.0,18656400.0,41699612.0,January,23043212.0,36699612.0
Tomorrowland,BV,170000000.0,93436322.0,206627518.0,May,113191196.0,36627518.0
The Roommate,SGem,16000000.0,37300107.0,52545707.0,February,15245600.0,36545707.0
Operation Chromite,CJ,12700000.0,1022720.0,49196532.0,August,48173812.0,36496532.0
The Lady in the Van,SPC,6000000.0,10021175.0,42320503.0,January,32299328.0,36320503.0
War Dogs,WB,50000000.0,43034523.0,86234503.0,August,43199980.0,36234503.0
12 Strong,WB,35000000.0,45819713.0,71118378.0,January,25298665.0,36118378.0
Silent Hill: Revelation 3D,ORF,20000000.0,17530219.0,55975672.0,October,38445453.0,35975672.0
Don Jon,Rela.,5500000.0,24477704.0,41268579.0,September,16790875.0,35768579.0
Life of the Party,WB (NL),30000000.0,53059911.0,65759911.0,May,12700000.0,35759911.0
The Internship,Fox,58000000.0,44672764.0,93672764.0,June,49000000.0,35672764.0
Whiplash,SPC,3300000.0,13092006.0,38969037.0,October,25877031.0,35669037.0
Burlesque,SGem,55000000.0,39440655.0,90552675.0,November,51112020.0,35552675.0
Hanna,Focus,30000000.0,40259119.0,65343694.0,April,25084575.0,35343694.0
Kick-Ass 2,Uni.,28000000.0,28795985.0,63129909.0,August,34333924.0,35129909.0
Valerian and the City of a Thousand Planets,STX,180000000.0,40479370.0,215098356.0,July,174618986.0,35098356.0
The DUFF,LGF,8500000.0,34030343.0,43528634.0,February,9498291.0,35028634.0
Barbershop: The Next Cut,WB (NL),20000000.0,54030051.0,54404202.0,April,374151.0,34404202.0
Escape From Planet Earth,Wein.,40000000.0,57012977.0,74156610.0,February,17143633.0,34156610.0
A Walk Among the Tombstones,Uni.,28000000.0,26017685.0,62108587.0,September,36090902.0,34108587.0
My Name is Khan,FoxS,8470000.0,4046336.0,42355526.0,February,38309190.0,33885526.0
Machete,Fox,12500000.0,26593646.0,46370970.0,September,19777324.0,33870970.0
Widows,Fox,40000000.0,42402632.0,73866088.0,November,31463456.0,33866088.0
The Mechanic,CBS,42500000.0,29121498.0,76347393.0,January,47225895.0,33847393.0
